"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント"
"1200047040111054849","https://twitter.com/ogato_desuyo/status/1200047040111054849","しょーやさんが土曜日に向けてスマブラコソ練してる笑","2019-11-28 13:41 +0000","900.0","13.0","0.014444444444444444","1.0","1.0","6.0","2.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200033842720980993","https://twitter.com/ogato_desuyo/status/1200033842720980993","ワイのUSBハブ3.0対応してなかったンゴ…","2019-11-28 12:48 +0000","636.0","4.0","0.006289308176100629","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200024714703335424","https://twitter.com/ogato_desuyo/status/1200024714703335424","インストール&amp;アップデート地獄…笑
PCのセットアップ終わったらみんなでVRChatの映像をお偉いさん方に見せつけるんじゃ！！！
そしてそのまま買わせる！！！沼に落とす！！！バ美肉おじさんになってもらう！！！","2019-11-28 12:12 +0000","949.0","19.0","0.020021074815595362","0.0","0.0","12.0","7.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200022510466564096","https://twitter.com/ogato_desuyo/status/1200022510466564096","VRエンジニアあるある

私物のHDMI to DP変換ケーブル","2019-11-28 12:03 +0000","579.0","1.0","0.0017271157167530224","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1200014098403999746","https://twitter.com/ogato_desuyo/status/1200014098403999746","バカッターって久しぶりに見た気がする https://t.co/O0c1FrPnIS","2019-11-28 11:30 +0000","1339.0","11.0","0.008215085884988798","0.0","0.0","9.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199990297037377538","https://twitter.com/ogato_desuyo/status/1199990297037377538","どれだけすごい機材でも、どれだけ高い施設でも、使いこなせなかったら意味がない","2019-11-28 09:55 +0000","753.0","14.0","0.01859229747675963","1.0","0.0","7.0","6.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199988587728535552","https://twitter.com/ogato_desuyo/status/1199988587728535552","オキュゴーが1万円台はやばｓぎる https://t.co/2ZFoFyS7Kw","2019-11-28 09:49 +0000","1712.0","22.0","0.012850467289719626","2.0","0.0","13.0","3.0","0.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199970495703076864","https://twitter.com/ogato_desuyo/status/1199970495703076864","高松で元の体型に戻るので🖐 https://t.co/f4Gqvfg15R","2019-11-28 08:37 +0000","907.0","7.0","0.007717750826901874","0.0","0.0","3.0","4.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199968219001286656","https://twitter.com/ogato_desuyo/status/1199968219001286656","懐かしっ！！笑
ガチ陰キャやんw https://t.co/NXV32zl7Ny","2019-11-28 08:28 +0000","1317.0","29.0","0.02201974183750949","0.0","0.0","7.0","8.0","0.0","0.0","14.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199966499022106624","https://twitter.com/ogato_desuyo/status/1199966499022106624","@nakamakoko さっきググりました！笑","2019-11-28 08:21 +0000","104.0","2.0","0.019230769230769232","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199964517729390592","https://twitter.com/ogato_desuyo/status/1199964517729390592","@nakamakoko 了解です！！","2019-11-28 08:13 +0000","154.0","6.0","0.03896103896103896","0.0","1.0","2.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199962817681448961","https://twitter.com/ogato_desuyo/status/1199962817681448961","SUNABACO何でもある説
（撮影準備楽しい） https://t.co/hE9LyUowUY","2019-11-28 08:06 +0000","1915.0","101.0","0.05274151436031332","2.0","1.0","21.0","1.0","3.0","0.0","5.0","0.0","0","0","0","0","0","68","68","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199649206295678976","https://twitter.com/ogato_desuyo/status/1199649206295678976","1ヶ月でここまで来るのは天才すぎるwww https://t.co/y9OdcCZ7Gy","2019-11-27 11:20 +0000","1837.0","17.0","0.009254218835057159","4.0","0.0","12.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199596160916213761","https://twitter.com/ogato_desuyo/status/1199596160916213761","うーん、録画とか録音しといて講義中は聞くのに集中した方がいいんでない？
喋りの構成要素の9割近くは非言語情報だし https://t.co/aHVMYBJ4nb","2019-11-27 07:49 +0000","1174.0","6.0","0.005110732538330494","0.0","0.0","3.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199594930018013184","https://twitter.com/ogato_desuyo/status/1199594930018013184","@RiekoWaka21 オサレ空間なので！！！","2019-11-27 07:44 +0000","90.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1199594765378969600","https://twitter.com/ogato_desuyo/status/1199594765378969600","SUNABACO高松はハイパーオシャレ空間！！！ https://t.co/ZNeMJiUH4S","2019-11-27 07:44 +0000","2933.0","245.0","0.08353221957040573","6.0","1.0","26.0","23.0","3.0","0.0","5.0","0.0","0","0","0","0","0","181","181","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
